Provider_ID,Full_Name,Specialty,Affiliation,Facility_ID,Accepting_New_Patients,Language_Fluency
MD-1001,Dr. Jones B.,Family Medicine,Medcare Internal,FAC-05,Yes,"English, Mandarin"
MD-1002,Dr. Jones A.,Orthopedics,Medcare Internal,FAC-01,Yes,"English, Spanish"
MD-1003,Dr. Muller B.,Cardiology,Medcare Internal,FAC-01,Yes,"English, Mandarin"
MD-1004,Dr. Muller B.,Family Medicine,Affiliate Partner,FAC-04,Yes,"English, None"
MD-1005,Dr. Chen A.,Pediatrics,Affiliate Partner,FAC-03,No,"English, Spanish"
MD-1006,Dr. Garcia B.,Neurology,Medcare Internal,FAC-02,No,"English, Mandarin"
MD-1007,Dr. Garcia B.,Neurology,Medcare Internal,FAC-05,Yes,"English, Mandarin"
MD-1008,Dr. Smith A.,Orthopedics,Affiliate Partner,FAC-03,No,"English, Mandarin"
MD-1009,Dr. Patel K.,Gastroenterology,Affiliate Partner,FAC-04,No,"English, None"
MD-1010,Dr. Jones K.,Gastroenterology,Affiliate Partner,FAC-02,No,"English, French"
MD-1011,Dr. Lee B.,Orthopedics,Affiliate Partner,FAC-02,No,"English, Spanish"
MD-1012,Dr. Smith B.,Family Medicine,Affiliate Partner,FAC-04,No,"English, Spanish"
MD-1013,Dr. Patel K.,Orthopedics,Medcare Internal,FAC-01,No,"English, Mandarin"
MD-1014,Dr. Muller K.,Pediatrics,Medcare Internal,FAC-02,No,"English, Spanish"
MD-1015,Dr. Jones K.,Cardiology,Affiliate Partner,FAC-04,Yes,"English, None"
MD-1016,Dr. Muller M.,Neurology,Affiliate Partner,FAC-03,No,"English, Mandarin"
MD-1017,Dr. Smith K.,Cardiology,Medcare Internal,FAC-04,No,"English, Mandarin"
MD-1018,Dr. Jones B.,Pediatrics,Medcare Internal,FAC-03,No,"English, French"
MD-1019,Dr. Muller A.,Family Medicine,Affiliate Partner,FAC-02,No,"English, None"
MD-1020,Dr. Patel A.,Cardiology,Affiliate Partner,FAC-02,Yes,"English, Mandarin"
MD-1021,Dr. Chen B.,Gastroenterology,Medcare Internal,FAC-02,Yes,"English, Mandarin"
MD-1022,Dr. Garcia A.,Family Medicine,Affiliate Partner,FAC-04,No,"English, Spanish"
MD-1023,Dr. Garcia B.,Cardiology,Medcare Internal,FAC-01,No,"English, French"
MD-1024,Dr. Patel B.,Gastroenterology,Affiliate Partner,FAC-05,No,"English, Mandarin"
MD-1025,Dr. Patel B.,Family Medicine,Affiliate Partner,FAC-05,No,"English, None"
MD-1026,Dr. Patel A.,Neurology,Medcare Internal,FAC-01,Yes,"English, Spanish"
MD-1027,Dr. Muller B.,Pediatrics,Medcare Internal,FAC-05,No,"English, None"
MD-1028,Dr. Smith K.,Neurology,Medcare Internal,FAC-01,Yes,"English, Spanish"
MD-1029,Dr. Muller K.,Cardiology,Affiliate Partner,FAC-05,Yes,"English, Mandarin"
MD-1030,Dr. Muller M.,Cardiology,Medcare Internal,FAC-01,Yes,"English, Mandarin"
MD-1031,Dr. Smith B.,Gastroenterology,Medcare Internal,FAC-01,No,"English, Mandarin"
MD-1032,Dr. Jones M.,Gastroenterology,Medcare Internal,FAC-02,No,"English, French"
MD-1033,Dr. Garcia B.,Family Medicine,Medcare Internal,FAC-02,No,"English, French"
MD-1034,Dr. Chen M.,Cardiology,Affiliate Partner,FAC-01,No,"English, None"
MD-1035,Dr. Garcia K.,Gastroenterology,Medcare Internal,FAC-02,No,"English, Mandarin"
MD-1036,Dr. Jones A.,Cardiology,Medcare Internal,FAC-04,No,"English, French"
MD-1037,Dr. Garcia A.,Gastroenterology,Affiliate Partner,FAC-04,Yes,"English, French"
MD-1038,Dr. Lee K.,Pediatrics,Affiliate Partner,FAC-01,Yes,"English, None"
MD-1039,Dr. Jones M.,Cardiology,Medcare Internal,FAC-01,No,"English, None"
MD-1040,Dr. Chen M.,Pediatrics,Medcare Internal,FAC-02,No,"English, None"
MD-1041,Dr. Smith M.,Gastroenterology,Affiliate Partner,FAC-01,No,"English, Mandarin"
MD-1042,Dr. Jones B.,Cardiology,Medcare Internal,FAC-03,No,"English, Spanish"
MD-1043,Dr. Garcia B.,Gastroenterology,Medcare Internal,FAC-01,No,"English, Mandarin"
MD-1044,Dr. Garcia M.,Neurology,Affiliate Partner,FAC-01,Yes,"English, French"
MD-1045,Dr. Patel M.,Pediatrics,Medcare Internal,FAC-03,Yes,"English, Mandarin"
MD-1046,Dr. Smith M.,Pediatrics,Affiliate Partner,FAC-03,Yes,"English, None"
MD-1047,Dr. Smith A.,Cardiology,Medcare Internal,FAC-01,Yes,"English, French"
MD-1048,Dr. Patel K.,Pediatrics,Medcare Internal,FAC-02,No,"English, French"
MD-1049,Dr. Chen B.,Cardiology,Affiliate Partner,FAC-02,Yes,"English, None"
MD-1050,Dr. Patel K.,Pediatrics,Affiliate Partner,FAC-03,Yes,"English, Mandarin"
